markerIndex p.value p.value.NA var1 var2 Tv1 N AC AF
265 0.66251337775717 0.675760105390948 0.592647745618452 0.645317091317819 0.335991701689852 461 280 0.303687635574837
149 0.46740845140689 0.486168922905558 0.639360287430117 0.696181032268536 -0.581071077043917 461 221 0.239696312364425
132 0.987370330946493 0.987896661325772 0.614490407178455 0.669100935953445 -0.0124087375680252 461 270 0.292841648590022
117 0.575768399994416 0.591782515955892 0.784977746303171 0.854739694837433 0.495778933806839 461 180 0.195227765726681
14 0.298095233736277 0.318686666350557 0.807965930612755 0.879770773896735 0.935297518088881 461 109 0.11822125813449
186 0.504156451687727 0.522091215919095 0.764929481067057 0.832909716592141 -0.584203130095266 461 112 0.121475054229935
43 0.567333309544273 0.583592687359377 0.734520243696919 0.799797973764866 0.490213435856663 461 194 0.210412147505423
469 0.581870010973268 0.597703826387254 0.783297857376834 0.852910518601964 0.487352582242812 461 130 0.140997830802603
176 0.729035844140145 0.739911184520908 0.656657974814765 0.715015984317439 0.280710058313477 461 284 0.308026030368764
72 0.468279047246193 0.487021374048043 0.708153888607011 0.771088406243881 -0.610338435804994 461 210 0.227765726681128
92 0.671662465139454 0.684594341741758 0.695391058083279 0.757191327207257 0.353463557607278 461 224 0.24295010845987
413 0.962723681300452 0.964276199820296 0.653054925537257 0.711092731083134 0.0377681652400662 461 208 0.225596529284165
464 0.559653950922707 0.576132477563415 0.775460283594343 0.844376401277123 0.513704227496096 461 166 0.180043383947939
401 0.548159820928008 0.564958753245604 0.656323011688393 0.714651254435015 0.486503758193351 461 204 0.221258134490239
463 0.359097940988964 0.379475245216285 0.748105867026916 0.814590965827801 0.793215632779838 461 193 0.209327548806941
86 0.695918753726269 0.707997693278026 0.802413481541302 0.873724962631683 -0.350100903331431 461 98 0.106290672451193
83 0.324962615396555 0.345533866754689 0.750204675990453 0.816876299950258 -0.8525546517958 461 210 0.227765726681128
175 0.266958542991371 0.28740653646643 0.689541709002174 0.750822056234744 -0.921807011463991 461 250 0.27114967462039
192 0.239172972408618 0.259319995411715 0.65188932606484 0.709823542150614 -0.950351423765044 461 267 0.289587852494577
195 0.829003726539291 0.836027009181225 0.677751151264927 0.737983738502769 -0.177806512923546 461 290 0.314533622559653
480 0.242037372822381 0.262223693078506 0.676001034011187 0.73607809334286 0.961891227437111 461 224 0.24295010845987
429 0.438035340853611 0.457364412838228 0.844646502635059 0.919711184981069 -0.712734461022064 461 136 0.147505422993492
22 0.448805831863095 0.467936478254303 0.799813876500181 0.87089432895213 0.677366951682623 461 111 0.120390455531453
110 0.336725720895948 0.357250266070321 0.68428817500113 0.745101716571566 -0.794670176256159 461 246 0.266811279826464
75 0.384398364146725 0.40452395583457 0.664727743191468 0.723802927347258 0.709172149233734 461 197 0.213665943600868
172 0.178405606446482 0.197190975814306 0.671794311111798 0.73149750385542 -1.1029608351203 461 217 0.235357917570499
140 0.163408134170032 0.181675312915523 0.684865516766244 0.7457303661477 1.15337898631748 461 268 0.290672451193059
137 0.411722749294972 0.43148432443593 0.723304945139906 0.787585959068388 -0.698124445882763 461 179 0.1941431670282
220 0.0160891365332881 0.0210785543662465 0.673665831416977 0.733535354545246 -1.97550441837997 461 240 0.260303687635575
150 0.620620597383446 0.6352561228302 0.719745334387213 0.783710002492684 -0.419922529922943 461 198 0.214750542299349
